STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,center_lon,center_lat
"39","071","01074048",0500000US39071,"39071",Highland,"06",1432479992,12194983,-83.600787191812060,39.184683340372509
"06","003","01675840",0500000US06003,"06003",Alpine,"06",1912292630,12557304,-119.820626325550691,38.597216240548590
"12","033","00295737",0500000US12033,"12033",Escambia,"06",1701544502,563927612,-87.362265401796833,30.668162770179006
"17","101","00424252",0500000US17101,"17101",Lawrence,"06",963936864,5077783,-87.726841400749677,38.720356963105907
"28","153","00695797",0500000US28153,"28153",Wayne,"06",2099745573,7255476,-88.695873913263412,31.640784760319978
"28","141","00695791",0500000US28141,"28141",Tishomingo,"06",1098938845,52360190,-88.239263868329573,34.740260171563527
"30","089","01719578",0500000US30089,"30089",Sanders,"06",7149405165,76394144,-115.133268756460183,47.674611897314612
"36","001","00974099",0500000US36001,"36001",Albany,"06",1354120790,27124553,-73.973365885550947,42.600084943764386
"42","105","01213684",0500000US42105,"42105",Potter,"06",2800612694,559778,-77.895709238168749,41.744786597364993
"29","077","00758493",0500000US29077,"29077",Greene,"06",1749081115,6620035,-93.341931291851722,37.258042227063200
"29","205","00758555",0500000US29205,"29205",Shelby,"06",1297230222,3764606,-92.076347411385910,39.797428980779010
"02","100","01419970",0500000US02100,"02100",Haines,"04",6059513753,1051059522,-135.500174251350671,59.119474764895067
"04","015","00025445",0500000US04015,"04015",Mohave,"06",34475503959,387309657,-113.758194138949264,35.704653628695759
"13","143","00350637",0500000US13143,"13143",Haralson,"06",730804585,2616531,-85.210862478129513,33.794036341615801
"21","145","00516925",0500000US21145,"21145",McCracken,"06",644244453,50304950,-88.712717646514534,37.054010843240874
"27","133","00659512",0500000US27133,"27133",Rock,"06",1249560755,698231,-96.253083966500640,43.674849628636323
"41","047","01135859",0500000US41047,"41047",Marion,"06",3057615207,26569475,-122.584519070555857,44.903295129786933
"47","125","01639777",0500000US47125,"47125",Montgomery,"06",1396430602,12079963,-87.382511659721786,36.496505826138630
"48","243","01383907",0500000US48243,"48243",Jeff Davis,"06",5865172230,206206,-104.139649154982337,30.715031438040413
"55","061","01581090",0500000US55061,"55061",Kewaunee,"06",886951858,1921336271,-87.615161793831476,44.516378726596123
"05","051","00066855",0500000US05051,"05051",Garland,"06",1755290360,147383937,-93.150371893042745,34.576653547586581
"06","109","00277319",0500000US06109,"06109",Tuolumne,"06",5752079372,138722707,-119.955128807941819,38.027489784663494
"17","093","00424248",0500000US17093,"17093",Kendall,"06",829468028,5136619,-88.428853722493585,41.590873135664033
"20","133","00485030",0500000US20133,"20133",Neosho,"06",1480111173,16369480,-95.306609070043109,37.558454382218962
