"fips","democratic_raw_votes_1932","democratic_raw_votes_1936","democratic_raw_votes_1940","democratic_raw_votes_1944","democratic_raw_votes_1948","democratic_raw_votes_1952","democratic_raw_votes_1956","democratic_raw_votes_1960","democratic_raw_votes_1964","democratic_raw_votes_1968","democratic_raw_votes_1972","democratic_raw_votes_1976","democratic_raw_votes_1980","democratic_raw_votes_1984","democratic_raw_votes_1988","democratic_raw_votes_1992","democratic_raw_votes_1996","democratic_raw_votes_2000","democratic_raw_votes_2004","democratic_raw_votes_2008","democratic_raw_votes_2012","democratic_raw_votes_2016","democratic_raw_votes_2020","pres_raw_county_vote_totals_two_party_1932","pres_raw_county_vote_totals_two_party_1936","pres_raw_county_vote_totals_two_party_1940","pres_raw_county_vote_totals_two_party_1944","pres_raw_county_vote_totals_two_party_1948","pres_raw_county_vote_totals_two_party_1952","pres_raw_county_vote_totals_two_party_1956","pres_raw_county_vote_totals_two_party_1960","pres_raw_county_vote_totals_two_party_1964","pres_raw_county_vote_totals_two_party_1968","pres_raw_county_vote_totals_two_party_1972","pres_raw_county_vote_totals_two_party_1976","pres_raw_county_vote_totals_two_party_1980","pres_raw_county_vote_totals_two_party_1984","pres_raw_county_vote_totals_two_party_1988","pres_raw_county_vote_totals_two_party_1992","pres_raw_county_vote_totals_two_party_1996","pres_raw_county_vote_totals_two_party_2000","pres_raw_county_vote_totals_two_party_2004","pres_raw_county_vote_totals_two_party_2008","pres_raw_county_vote_totals_two_party_2012","pres_raw_county_vote_totals_two_party_2016","pres_raw_county_vote_totals_two_party_2020","dem_two_party_vote_share_1932","dem_two_party_vote_share_1936","dem_two_party_vote_share_1940","dem_two_party_vote_share_1944","dem_two_party_vote_share_1948","dem_two_party_vote_share_1952","dem_two_party_vote_share_1956","dem_two_party_vote_share_1960","dem_two_party_vote_share_1964","dem_two_party_vote_share_1968","dem_two_party_vote_share_1972","dem_two_party_vote_share_1976","dem_two_party_vote_share_1980","dem_two_party_vote_share_1984","dem_two_party_vote_share_1988","dem_two_party_vote_share_1992","dem_two_party_vote_share_1996","dem_two_party_vote_share_2000","dem_two_party_vote_share_2004","dem_two_party_vote_share_2008","dem_two_party_vote_share_2012","dem_two_party_vote_share_2016","dem_two_party_vote_share_2020","county.county_name","county.state"
"01001",1322,1525,1631,1242,1160,1505,1115,1324,491,5491,1593,4640,4295,3366,3667,4819,5015,4942,4758,6093,6363,5936,7503,1460,1609,1730,1359,1270,2292,1972,2477,3460,6088,6960,9152,10587,11716,11495,13534,14524,16935,19954,23496,23742,24108,27341,0.905479452054795,0.947793660658794,0.942774566473988,0.913907284768212,0.913385826771654,0.656631762652705,0.565415821501014,0.534517561566411,0.141907514450867,0.901938239159001,0.228879310344828,0.506993006993007,0.405686218947766,0.287299419597132,0.31900826446281,0.356066203635289,0.345290553566511,0.291821671095365,0.238448431392202,0.259320735444331,0.26800606520091,0.246225319396051,0.274423027687356,"AUTAUGA","AL"
"01003",2101,2335,2679,2004,2577,3386,3877,5647,2530,14346,2923,9191,8448,7272,9271,12195,12776,13997,15599,19386,18424,18458,24578,2644,2769,3290,2699,3344,6565,8170,10418,13400,16503,18027,22447,27100,32236,35204,38465,42263,54869,68570,80657,84440,91341,108122,0.794629349470499,0.843264716504153,0.814285714285714,0.742497221193034,0.770633971291866,0.515765422696116,0.474541003671971,0.542042618544826,0.188805970149254,0.869296491546991,0.162145670383314,0.4094533790707,0.311734317343173,0.225586301029904,0.263350755595955,0.317041466268036,0.302297517923479,0.255098507353879,0.227490156044918,0.240351116456104,0.21819043107532,0.202077927765188,0.22731728972827,"BALDWIN","AL"
"01005",2207,2386,2328,2237,1679,2250,2530,2148,978,5483,1846,4730,4458,4591,3836,4836,4787,5188,4832,5697,5912,4871,4816,2271,2436,2418,2304,1780,3048,3307,3313,4831,5873,6831,8488,8629,10050,8794,9311,8414,10284,10731,11563,11462,10325,10438,0.971818582122413,0.979474548440066,0.962779156327543,0.970920138888889,0.943258426966292,0.738188976377953,0.765043846386453,0.648354965288258,0.202442558476506,0.933594415120041,0.270238618064705,0.557257304429783,0.516629968710163,0.45681592039801,0.436206504434842,0.519385672860058,0.568932731162348,0.504472967716842,0.450284223278352,0.492692207904523,0.51579131041703,0.471767554479419,0.461391071086415,"BARBOUR","AL"
"01007",1636,1868,1821,1290,1188,1971,1476,1697,503,3638,837,2850,3097,2167,2244,2900,2775,2710,2089,2299,2202,1874,1986,1781,2058,1994,1534,1311,2755,2480,2746,3126,3898,4169,4441,5588,5654,5129,6024,5812,6983,7561,8561,8334,8612,9511,0.918585064570466,0.907677356656948,0.913239719157472,0.840938722294654,0.906178489702517,0.715426497277677,0.595161290322581,0.617989803350328,0.160908509277031,0.933299127757825,0.20076757016071,0.641747354199505,0.554223335719399,0.383268482490272,0.43751218561123,0.48140770252324,0.477460426703372,0.388085350136045,0.276286205528369,0.268543394463264,0.264218862491001,0.217603344170924,0.208810850594049,"BIBB","AL"
"01009",2232,2788,2784,2133,1768,3161,3212,3404,2427,6518,1582,6645,5656,3738,4485,5433,5061,4977,3938,3522,2970,2156,2640,2814,3532,3639,3130,2539,4881,5840,5962,6869,8514,8068,10878,12475,12246,13239,14315,14117,17644,21324,23911,23727,25015,27351,0.79317697228145,0.789354473386183,0.765045342126958,0.6814696485623,0.696337140606538,0.647613194017619,0.55,0.570949345857095,0.353326539525404,0.765562602771905,0.196083292017848,0.610865968008825,0.453386773547094,0.305242528172465,0.33877181055971,0.37953195948306,0.358503931430191,0.282078893674904,0.184674545113487,0.147296223495462,0.125173852573018,0.0861882870277833,0.0965229790501261,"BLOUNT","AL"
"01011",1005,1188,1302,1056,799,918,733,757,1114,2157,2321,3536,3960,3537,3122,3259,3078,3395,3210,4011,4061,3530,3446,1017,1193,1320,1080,809,1360,1037,1165,2630,2347,4499,5018,5406,5234,4543,4512,4232,4828,4704,5402,5312,4670,4592,0.988200589970501,0.995808885163453,0.986363636363636,0.977777777777778,0.987639060568603,0.675,0.706846673095468,0.649785407725322,0.423574144486692,0.919045590115041,0.515892420537897,0.704663212435233,0.732519422863485,0.675773786778754,0.687211093990755,0.72229609929078,0.727315689981096,0.703189726594863,0.682397959183674,0.742502776749352,0.764495481927711,0.755888650963597,0.750435540069686,"BULLOCK","AL"
"01013",2280,2358,2732,1915,1313,2440,1958,2872,973,5550,1401,4271,4156,3641,3465,4021,3828,3606,3413,4188,4374,3726,3965,2354,2441,2784,1995,1404,3527,3282,4104,4975,6054,6086,7180,7966,8582,7388,7515,7180,7733,8392,9673,9461,8627,9423,0.96856414613424,0.965997541990987,0.98132183908046,0.959899749373434,0.935185185185185,0.691806067479444,0.596587446678854,0.699805068226121,0.195577889447236,0.916749256689792,0.230200460072297,0.594846796657382,0.521717298518705,0.424260079235609,0.469003789929616,0.535063206919494,0.533147632311978,0.466313203155308,0.406696854146807,0.432957717357593,0.462318993763873,0.431899849310305,0.420778945134246,"BUTLER","AL"
"01015",4394,4259,4409,4308,3236,8023,9063,9590,6210,19290,5832,20466,17017,12752,12451,16453,15725,15781,15083,16334,15511,13242,15216,5079,4840,5055,5002,4092,11087,13536,14434,16845,22341,26196,32229,34492,36043,32257,37076,33813,38087,44897,48682,45789,46107,50317,0.865130931285686,0.87995867768595,0.872205736894164,0.86125549780088,0.790811339198436,0.723640299449806,0.669547872340426,0.664403491755577,0.368655387355298,0.863434940244394,0.222629409070087,0.63501815135437,0.493360779311145,0.353799628221846,0.385993737793347,0.443764160103571,0.465057817998994,0.414340851209074,0.335946722498162,0.335524423811676,0.338749481316473,0.287201509532175,0.30240276646064,"CALHOUN","AL"
"01017",2554,3626,4141,3458,1520,6155,5160,5165,2557,7858,2076,6164,6649,5302,5103,5938,5515,5616,5347,6799,6871,5784,6365,2894,3738,4251,3652,1738,7145,6608,7030,7187,8942,10792,11652,11513,13326,12797,11620,10222,11653,12969,14866,14497,13627,15118,0.882515549412578,0.970037453183521,0.974123735591625,0.946878422782037,0.874568469505178,0.861441567529741,0.780871670702179,0.734708392603129,0.355781271740643,0.87877432341758,0.19236471460341,0.529007895640233,0.577521063146009,0.39786882785532,0.398765335625537,0.511015490533563,0.539522598317355,0.481935982150519,0.412290847405351,0.457352347638908,0.473960129682003,0.424451456666911,0.421021299113639,"CHAMBERS","AL"
"01019",1897,2113,2617,1774,1055,2664,2661,3097,1916,4759,1182,4668,3764,3029,3176,4222,4399,3497,3040,2306,2132,1547,1624,2256,2487,2998,2182,1272,3203,3506,3966,3809,5102,4361,6160,6246,6254,6044,6967,7447,7651,8963,9604,9638,10500,12207,0.840868794326241,0.84961801367109,0.872915276851234,0.81301558203483,0.82940251572327,0.831720262254137,0.758984597832288,0.780887544125063,0.503019165135206,0.932771462171697,0.271038752579684,0.757792207792208,0.602625680435479,0.48433002878158,0.525479814692257,0.605999712932396,0.590707667517121,0.457064436021435,0.339172152181189,0.240108288213244,0.221207719443868,0.147333333333333,0.133038420578357,"CHEROKEE","AL"
"01021",1668,2565,2746,1984,1966,2269,1891,1798,1645,6547,1356,5550,4706,2934,3820,4946,5354,4806,3778,3674,3397,2911,3073,3196,4034,4741,3360,3550,4832,5030,5058,6847,8098,8705,10275,11321,11177,12581,13072,13264,14872,16607,17634,17329,17992,19158,0.521902377972466,0.635845314823996,0.579202699852352,0.59047619047619,0.553802816901408,0.469577814569536,0.375944333996024,0.355476472914195,0.240251204907259,0.808471227463571,0.155772544514647,0.54014598540146,0.415687660100698,0.262503355104232,0.303632461648518,0.378365973072215,0.403648974668275,0.32315761161915,0.227494430059613,0.208347510491097,0.196029776674938,0.161794130724767,0.160402964818875,"CHILTON","AL"
"01023",1533,1507,2023,1244,1440,1583,1251,1094,413,4204,1934,3911,3680,3373,3491,3941,4074,3707,3303,3636,3786,3109,3127,1581,1581,2096,1330,1456,2176,1708,1699,2910,4381,4989,6944,6539,7333,7120,7010,6697,7307,7200,7859,7938,7215,7423,0.969639468690702,0.953194180898166,0.965171755725191,0.935338345864662,0.989010989010989,0.727481617647059,0.732435597189696,0.643908181283108,0.14192439862543,0.959598265236247,0.387652836239727,0.563220046082949,0.562777183055513,0.459975453429701,0.490308988764045,0.562196861626248,0.608332088995072,0.507321746270699,0.45875,0.462654281715231,0.476946334089191,0.430907830907831,0.421258251380843,"CHOCTAW","AL"
"01025",2408,2673,3753,2263,2059,3121,1953,1878,924,6166,2031,4737,5249,4452,4217,5023,4831,4679,4627,5914,6334,5749,5755,2461,2733,3801,2405,2106,4424,3199,3888,5384,6654,7287,8863,10308,10734,9925,10518,9616,10667,11357,13380,13804,12889,13079,0.978464039008533,0.978046103183315,0.987371744277822,0.940956340956341,0.977682811016144,0.705470162748644,0.610503282275711,0.483024691358025,0.171619613670134,0.926660655244965,0.278715520790449,0.534469141374252,0.509216142801707,0.414756847400783,0.424886649874055,0.477562274196615,0.502391846921797,0.438642542420549,0.407413929734965,0.442002989536622,0.458852506519849,0.446039258282256,0.44001835002676,"CLARKE","AL"
